rank_date_id,rank_date,year,month,day,quarter
174,2008-12-17,2008,12,17,4
175,2009-01-14,2009,1,14,1
176,2009-02-11,2009,2,11,1
177,2009-03-11,2009,3,11,1
178,2009-04-08,2009,4,8,2
179,2009-05-06,2009,5,6,2
180,2009-06-03,2009,6,3,2
181,2009-07-01,2009,7,1,3
182,2009-08-05,2009,8,5,3
183,2009-09-02,2009,9,2,3
184,2009-10-16,2009,10,16,4
185,2009-11-20,2009,11,20,4
186,2009-12-16,2009,12,16,4
187,2010-02-03,2010,2,3,1
188,2010-03-03,2010,3,3,1
189,2010-03-31,2010,3,31,1
190,2010-04-28,2010,4,28,2
191,2010-05-26,2010,5,26,2
192,2010-07-14,2010,7,14,3
193,2010-08-11,2010,8,11,3
194,2010-09-15,2010,9,15,3
195,2010-10-20,2010,10,20,4
196,2010-11-17,2010,11,17,4
197,2010-12-15,2010,12,15,4
198,2011-01-12,2011,1,12,1
199,2011-02-02,2011,2,2,1
200,2011-03-09,2011,3,9,1
201,2011-04-13,2011,4,13,2
202,2011-05-18,2011,5,18,2
203,2011-06-29,2011,6,29,2
204,2011-07-27,2011,7,27,3
205,2011-08-24,2011,8,24,3
206,2011-09-21,2011,9,21,3
207,2011-10-19,2011,10,19,4
208,2011-11-23,2011,11,23,4
209,2011-12-21,2011,12,21,4
210,2012-01-18,2012,1,18,1
211,2012-02-15,2012,2,15,1
212,2012-03-07,2012,3,7,1
213,2012-04-11,2012,4,11,2
214,2012-05-09,2012,5,9,2
215,2012-06-06,2012,6,6,2
216,2012-07-04,2012,7,4,3
217,2012-08-08,2012,8,8,3
218,2012-09-05,2012,9,5,3
219,2012-10-03,2012,10,3,4
220,2012-11-07,2012,11,7,4
221,2012-12-19,2012,12,19,4
222,2013-01-17,2013,1,17,1
223,2013-02-14,2013,2,14,1
224,2013-03-14,2013,3,14,1
225,2013-04-11,2013,4,11,2
226,2013-05-09,2013,5,9,2
227,2013-06-06,2013,6,6,2
228,2013-07-04,2013,7,4,3
229,2013-08-08,2013,8,8,3
230,2013-09-12,2013,9,12,3
231,2013-10-17,2013,10,17,4
232,2013-11-28,2013,11,28,4
233,2013-12-19,2013,12,19,4
234,2014-01-16,2014,1,16,1
235,2014-02-13,2014,2,13,1
236,2014-03-13,2014,3,13,1
237,2014-04-10,2014,4,10,2
238,2014-05-08,2014,5,8,2
239,2014-06-05,2014,6,5,2
240,2014-07-17,2014,7,17,3
241,2014-08-14,2014,8,14,3
242,2014-09-18,2014,9,18,3
243,2014-10-23,2014,10,23,4
244,2014-11-27,2014,11,27,4
245,2014-12-18,2014,12,18,4
246,2015-01-08,2015,1,8,1
247,2015-02-12,2015,2,12,1
248,2015-03-12,2015,3,12,1
249,2015-04-09,2015,4,9,2
250,2015-05-07,2015,5,7,2
251,2015-06-04,2015,6,4,2
252,2015-07-09,2015,7,9,3
253,2015-08-06,2015,8,6,3
254,2015-09-03,2015,9,3,3
255,2015-10-01,2015,10,1,4
256,2015-11-05,2015,11,5,4
257,2015-12-03,2015,12,3,4
258,2016-01-07,2016,1,7,1
259,2016-02-04,2016,2,4,1
260,2016-03-03,2016,3,3,1
261,2016-04-07,2016,4,7,2
262,2016-05-05,2016,5,5,2
263,2016-06-02,2016,6,2,2
264,2016-07-14,2016,7,14,3
265,2016-08-11,2016,8,11,3
266,2016-09-15,2016,9,15,3
267,2016-10-20,2016,10,20,4
268,2016-11-24,2016,11,24,4
269,2016-12-22,2016,12,22,4
270,2017-01-12,2017,1,12,1
271,2017-02-09,2017,2,9,1
272,2017-03-09,2017,3,9,1
273,2017-04-06,2017,4,6,2
274,2017-05-04,2017,5,4,2
275,2017-06-01,2017,6,1,2
276,2017-07-06,2017,7,6,3
277,2017-08-10,2017,8,10,3
278,2017-09-14,2017,9,14,3
279,2017-10-16,2017,10,16,4
280,2017-11-23,2017,11,23,4
281,2017-12-21,2017,12,21,4
282,2018-01-18,2018,1,18,1
283,2018-02-15,2018,2,15,1
284,2018-03-15,2018,3,15,1
285,2018-04-12,2018,4,12,2
286,2018-05-17,2018,5,17,2
287,2018-06-07,2018,6,7,2
288,2018-07-01,2018,7,1,3
289,2018-08-16,2018,8,16,3
290,2018-09-20,2018,9,20,3
291,2018-10-25,2018,10,25,4
292,2018-11-29,2018,11,29,4
293,2018-12-20,2018,12,20,4
294,2019-02-07,2019,2,7,1
295,2019-04-04,2019,4,4,2
296,2019-06-14,2019,6,14,2
297,2019-07-25,2019,7,25,3
298,2019-09-19,2019,9,19,3
299,2019-10-24,2019,10,24,4
300,2019-11-28,2019,11,28,4
301,2019-12-19,2019,12,19,4
302,2020-02-20,2020,2,20,1
303,2020-04-09,2020,4,9,2
304,2020-06-11,2020,6,11,2
305,2020-07-16,2020,7,16,3
306,2020-09-17,2020,9,17,3
307,2020-10-22,2020,10,22,4
308,2020-11-26,2020,11,26,4
309,2020-12-10,2020,12,10,4
310,2021-02-18,2021,2,18,1
311,2021-04-07,2021,4,7,2
312,2021-05-27,2021,5,27,2
313,2021-08-12,2021,8,12,3
314,2021-09-16,2021,9,16,3
315,2021-10-21,2021,10,21,4
316,2021-11-19,2021,11,19,4
317,2021-12-23,2021,12,23,4
318,2022-02-10,2022,2,10,1
319,2022-03-31,2022,3,31,1
320,2022-06-23,2022,6,23,2
321,2022-08-25,2022,8,25,3
322,2022-10-06,2022,10,6,4
323,2022-12-22,2022,12,22,4
324,2023-04-06,2023,4,6,2
325,2023-06-29,2023,6,29,2
326,2023-07-20,2023,7,20,3
327,2023-09-21,2023,9,21,3
328,2023-10-26,2023,10,26,4
329,2023-11-30,2023,11,30,4
330,2023-12-21,2023,12,21,4
331,2024-02-15,2024,2,15,1
332,2024-04-04,2024,4,4,2
333,2024-06-20,2024,6,20,2
